model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,0.7270603504218041,accuracy,6.386675596237183,2314.837512731552,0.0009067058563232422,0.2767212390899658,2,True,109
NeuralNetTorch_r30_BAG_L1,0.7205710577547048,accuracy,0.32146716117858887,1614.0198152065277,0.32146716117858887,1614.0198152065277,1,True,28
LightGBM_r121_BAG_L1,0.7204412719013628,accuracy,2.983771800994873,71.00514578819275,2.983771800994873,71.00514578819275,1,True,85
LightGBM_r188_BAG_L1,0.7200519143413368,accuracy,1.8381717205047607,39.59938907623291,1.8381717205047607,39.59938907623291,1,True,25
LightGBM_r143_BAG_L1,0.7196625567813109,accuracy,2.0144481658935547,71.65779423713684,2.0144481658935547,71.65779423713684,1,True,55
CatBoost_r86_BAG_L1,0.7192731992212849,accuracy,0.03381538391113281,52.420098304748535,0.03381538391113281,52.420098304748535,1,True,50
CatBoost_r128_BAG_L1,0.7191434133679429,accuracy,0.09696078300476074,114.34170818328857,0.09696078300476074,114.34170818328857,1,True,61
LightGBMLarge_BAG_L1,0.718883841661259,accuracy,1.8038604259490967,43.81291127204895,1.8038604259490967,43.81291127204895,1,True,11
XGBoost_r34_BAG_L1,0.718754055807917,accuracy,0.06668758392333984,32.37803268432617,0.06668758392333984,32.37803268432617,1,True,105
LightGBM_r161_BAG_L1,0.718754055807917,accuracy,2.037808895111084,74.43075466156006,2.037808895111084,74.43075466156006,1,True,38
CatBoost_r9_BAG_L1,0.718624269954575,accuracy,0.12177014350891113,138.6478555202484,0.12177014350891113,138.6478555202484,1,True,16
XGBoost_r33_BAG_L1,0.7177157689811811,accuracy,0.06050539016723633,39.33813691139221,0.06050539016723633,39.33813691139221,1,True,19
CatBoost_r70_BAG_L1,0.7177157689811811,accuracy,0.08715558052062988,51.34716320037842,0.08715558052062988,51.34716320037842,1,True,40
LightGBM_r42_BAG_L1,0.7171966255678132,accuracy,2.5086541175842285,39.865262508392334,2.5086541175842285,39.865262508392334,1,True,106
RandomForestEntr_BAG_L1,0.7166774821544452,accuracy,0.288327693939209,1.583430528640747,0.288327693939209,1.583430528640747,1,True,4
ExtraTreesGini_BAG_L1,0.7162881245944193,accuracy,0.31731295585632324,0.8207638263702393,0.31731295585632324,0.8207638263702393,1,True,6
ExtraTrees_r49_BAG_L1,0.7162881245944193,accuracy,0.32320356369018555,1.1392707824707031,0.32320356369018555,1.1392707824707031,1,True,54
XGBoost_BAG_L1,0.7161583387410773,accuracy,0.04268932342529297,13.140528440475464,0.04268932342529297,13.140528440475464,1,True,9
CatBoost_r177_BAG_L1,0.7160285528877353,accuracy,0.03468060493469238,20.307517528533936,0.03468060493469238,20.307517528533936,1,True,12
CatBoost_r12_BAG_L1,0.7158987670343933,accuracy,0.034757375717163086,37.118693113327026,0.034757375717163086,37.118693113327026,1,True,94
XGBoost_r49_BAG_L1,0.7157689811810513,accuracy,0.049283742904663086,19.104814529418945,0.049283742904663086,19.104814529418945,1,True,68
CatBoost_r180_BAG_L1,0.7156391953277093,accuracy,0.09349298477172852,69.9193983078003,0.09349298477172852,69.9193983078003,1,True,87
CatBoost_r167_BAG_L1,0.7153796236210254,accuracy,0.03172731399536133,30.30109715461731,0.03172731399536133,30.30109715461731,1,True,44
NeuralNetTorch_r135_BAG_L1,0.7153796236210254,accuracy,0.32439398765563965,580.7131636142731,0.32439398765563965,580.7131636142731,1,True,95
XGBoost_r22_BAG_L1,0.7152498377676834,accuracy,0.04594683647155762,13.464425802230835,0.04594683647155762,13.464425802230835,1,True,81
RandomForest_r15_BAG_L1,0.7152498377676834,accuracy,0.29175686836242676,7.058963298797607,0.29175686836242676,7.058963298797607,1,True,79
LightGBM_r30_BAG_L1,0.7149902660609994,accuracy,2.5149688720703125,52.35617470741272,2.5149688720703125,52.35617470741272,1,True,67
CatBoost_BAG_L1,0.7148604802076574,accuracy,0.032994747161865234,23.41230273246765,0.032994747161865234,23.41230273246765,1,True,5
RandomForest_r195_BAG_L1,0.7148604802076574,accuracy,0.2894880771636963,7.336982250213623,0.2894880771636963,7.336982250213623,1,True,24
CatBoost_r143_BAG_L1,0.7147306943543154,accuracy,0.029767513275146484,24.81225872039795,0.029767513275146484,24.81225872039795,1,True,72
CatBoost_r198_BAG_L1,0.7142115509409475,accuracy,0.032837629318237305,28.82245683670044,0.032837629318237305,28.82245683670044,1,True,101
ExtraTrees_r197_BAG_L1,0.7142115509409475,accuracy,0.31116318702697754,1.0655317306518555,0.31116318702697754,1.0655317306518555,1,True,89
RandomForest_r16_BAG_L1,0.7139519792342635,accuracy,0.3014869689941406,10.163838624954224,0.3014869689941406,10.163838624954224,1,True,92
ExtraTreesEntr_BAG_L1,0.7139519792342635,accuracy,0.32289576530456543,0.8552553653717041,0.32289576530456543,0.8552553653717041,1,True,7
XGBoost_r194_BAG_L1,0.7138221933809215,accuracy,0.1106414794921875,18.54973077774048,0.1106414794921875,18.54973077774048,1,True,33
LightGBM_r135_BAG_L1,0.7138221933809215,accuracy,2.08956241607666,28.130686044692993,2.08956241607666,28.130686044692993,1,True,80
RandomForest_r39_BAG_L1,0.7135626216742376,accuracy,0.2796592712402344,7.249294281005859,0.2796592712402344,7.249294281005859,1,True,43
NeuralNetTorch_r41_BAG_L1,0.7135626216742376,accuracy,0.2896311283111572,352.29735827445984,0.2896311283111572,352.29735827445984,1,True,46
NeuralNetTorch_BAG_L1,0.7131732641142116,accuracy,0.28533315658569336,202.0606324672699,0.28533315658569336,202.0606324672699,1,True,10
ExtraTrees_r126_BAG_L1,0.7131732641142116,accuracy,0.3081843852996826,1.1362183094024658,0.3081843852996826,1.1362183094024658,1,True,97
RandomForest_r127_BAG_L1,0.7127839065541856,accuracy,0.27505016326904297,8.507560014724731,0.27505016326904297,8.507560014724731,1,True,56
LightGBM_r196_BAG_L1,0.7127839065541856,accuracy,2.332657814025879,60.91118335723877,2.332657814025879,60.91118335723877,1,True,42
LightGBM_BAG_L1,0.7126541207008437,accuracy,2.6461195945739746,16.35677433013916,2.6461195945739746,16.35677433013916,1,True,2
RandomForest_r166_BAG_L1,0.7121349772874757,accuracy,0.29047274589538574,1.162008285522461,0.29047274589538574,1.162008285522461,1,True,74
NeuralNetTorch_r143_BAG_L1,0.7121349772874757,accuracy,0.31578683853149414,702.2663321495056,0.31578683853149414,702.2663321495056,1,True,60
ExtraTrees_r42_BAG_L1,0.7120051914341337,accuracy,0.306262731552124,0.8094427585601807,0.306262731552124,0.8094427585601807,1,True,20
CatBoost_r13_BAG_L1,0.7118754055807917,accuracy,0.0347285270690918,52.555553674697876,0.0347285270690918,52.555553674697876,1,True,23
RandomForestGini_BAG_L1,0.7118754055807917,accuracy,0.2977132797241211,1.233452558517456,0.2977132797241211,1.233452558517456,1,True,3
NeuralNetTorch_r1_BAG_L1,0.7117456197274498,accuracy,0.31310606002807617,502.30995988845825,0.31310606002807617,502.30995988845825,1,True,107
LightGBMXT_BAG_L1,0.7117456197274498,accuracy,2.673460006713867,14.39779257774353,2.673460006713867,14.39779257774353,1,True,1
XGBoost_r98_BAG_L1,0.7114860480207658,accuracy,0.13714075088500977,41.25090479850769,0.13714075088500977,41.25090479850769,1,True,47
XGBoost_r95_BAG_L1,0.7113562621674238,accuracy,0.04199814796447754,9.418844938278198,0.04199814796447754,9.418844938278198,1,True,104
CatBoost_r163_BAG_L1,0.7112264763140818,accuracy,0.03275156021118164,19.144819259643555,0.03275156021118164,19.144819259643555,1,True,100
CatBoost_r60_BAG_L1,0.7112264763140818,accuracy,0.03292107582092285,20.723029375076294,0.03292107582092285,20.723029375076294,1,True,78
