feature,mean_abs_shap
original_shape2D_Sphericity,0.26922040935483876
original_shape2D_Elongation,0.19072430104851137
original_glrlm_LongRunHighGrayLevelEmphasis,0.04769455284702478
original_firstorder_Skewness,0.04723524364906116
original_glcm_Correlation,0.032718322856144434
original_firstorder_Median,0.03223365342420034
original_glcm_ClusterShade,0.028880846826122582
original_glrlm_ShortRunLowGrayLevelEmphasis,0.02659070453332899
original_glrlm_RunLengthNonUniformityNormalized,0.02549253361982749
original_firstorder_10Percentile,0.023087170227045744
original_glrlm_ShortRunEmphasis,0.01716804226662804
original_glrlm_RunVariance,0.01601751785448247
original_firstorder_Variance,0.015774331945734087
original_firstorder_Mean,0.01458802698927655
original_shape2D_MinorAxisLength,0.014130314916097708
original_firstorder_Energy,0.013945261111099698
original_firstorder_Kurtosis,0.01376295171325988
original_glrlm_RunLengthNonUniformity,0.012474610182178282
original_shape2D_Perimeter,0.011824458004702242
original_glrlm_GrayLevelNonUniformityNormalized,0.011812282106973616
original_glrlm_GrayLevelNonUniformity,0.011545286777611609
original_glcm_MaximumProbability,0.011513460257283349
original_shape2D_PerimeterSurfaceRatio,0.010836142323353587
original_firstorder_InterquartileRange,0.00984475403852542
original_gldm_GrayLevelNonUniformity,0.00953413540922524
original_shape2D_MajorAxisLength,0.00947543983959086
original_ngtdm_Coarseness,0.009309201886320484
original_glrlm_LongRunLowGrayLevelEmphasis,0.009286389145561357
original_glcm_ClusterProminence,0.008191577665343447
original_ngtdm_Contrast,0.007983469549416608
original_firstorder_Range,0.007911202370310766
original_firstorder_Minimum,0.007453770238152103
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.007166504119463524
original_firstorder_RobustMeanAbsoluteDeviation,0.0068182215260677035
original_firstorder_RootMeanSquared,0.006605611937840731
original_firstorder_Maximum,0.006593228383392338
original_glcm_ClusterTendency,0.00642404482007056
original_glrlm_LongRunEmphasis,0.006326579439764362
original_glcm_InverseVariance,0.006289758455480619
original_gldm_GrayLevelVariance,0.005938607008239318
original_ngtdm_Complexity,0.005602418300484619
original_glcm_Imc2,0.005330434503238169
original_glrlm_GrayLevelVariance,0.005231415232768182
original_gldm_DependenceNonUniformityNormalized,0.0051508516019289725
original_glcm_DifferenceVariance,0.005021899288695002
original_glcm_DifferenceEntropy,0.004834557299887191
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.004614748022511283
original_gldm_DependenceVariance,0.004374571954645441
original_glrlm_RunEntropy,0.004307293787878157
original_glcm_Imc1,0.004138242067486961
original_gldm_SmallDependenceEmphasis,0.004082214759850354
original_firstorder_90Percentile,0.004056461681405453
original_glrlm_HighGrayLevelRunEmphasis,0.003978087789644644
original_glrlm_RunPercentage,0.003954102241268658
original_ngtdm_Busyness,0.003948333389633735
original_ngtdm_Strength,0.0035255599308500695
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0034343036889037657
original_firstorder_Uniformity,0.0034064606742848294
original_glcm_Contrast,0.003235561199705932
original_gldm_DependenceNonUniformity,0.0031264114198148694
original_glcm_JointAverage,0.0030205429676622864
original_shape2D_MaximumDiameter,0.0029758610536608074
original_glcm_Idmn,0.0029664738760092645
original_glcm_Idn,0.0027633159399818373
original_glcm_Autocorrelation,0.0027595484127987406
original_glcm_DifferenceAverage,0.00259830733388096
original_gldm_DependenceEntropy,0.0023678569112228
original_firstorder_Entropy,0.0022969636075487396
original_shape2D_PixelSurface,0.002293167121115849
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.002281029531597847
original_glcm_SumEntropy,0.002274698247821655
original_glcm_JointEnergy,0.002235568170483117
original_gldm_HighGrayLevelEmphasis,0.002144560915999006
original_gldm_LowGrayLevelEmphasis,0.0019773079179721117
original_gldm_LargeDependenceEmphasis,0.0019422799507929976
original_glrlm_LowGrayLevelRunEmphasis,0.0019270705599987383
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0017838492955145964
original_firstorder_MeanAbsoluteDeviation,0.0017778777840202508
original_glcm_JointEntropy,0.0016250845145375998
original_glcm_SumSquares,0.001579644056356902
original_glcm_Idm,0.00136502112102918
original_glcm_Id,0.0009486919686788289
original_shape2D_MeshSurface,0.0005420762225335093
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0
original_glszm_ZoneEntropy,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
