feature,mean_abs_shap
original_firstorder_Maximum,0.10960182536944241
original_firstorder_Energy,0.026053450090864107
original_shape2D_Elongation,0.02000808802493689
original_glcm_ClusterShade,0.018251740352205607
original_glcm_ClusterTendency,0.017400061822913468
original_shape2D_PerimeterSurfaceRatio,0.01723717426180057
original_shape2D_Perimeter,0.016895111859935502
original_shape2D_MinorAxisLength,0.013844725651833019
original_ngtdm_Contrast,0.013001028224355959
original_shape2D_PixelSurface,0.012574195351354152
original_shape2D_Sphericity,0.00991174307168659
original_firstorder_Kurtosis,0.00867997267212052
original_glrlm_ShortRunEmphasis,0.00753147837877915
original_glcm_Idmn,0.006998879483199689
original_shape2D_MeshSurface,0.006525751515750331
original_ngtdm_Strength,0.006270139909369021
original_gldm_GrayLevelNonUniformity,0.0058703811907407895
original_gldm_DependenceNonUniformityNormalized,0.004981978898232143
original_glcm_MaximumProbability,0.004012422418648756
original_glcm_Idn,0.003965579842131103
original_glrlm_ShortRunHighGrayLevelEmphasis,0.003932749496805788
original_gldm_LowGrayLevelEmphasis,0.0035601483782230297
original_ngtdm_Busyness,0.00324233291622566
original_glcm_ClusterProminence,0.003229504419106703
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0028135339072961544
original_firstorder_Entropy,0.002667919521494404
original_firstorder_InterquartileRange,0.0024834861812736207
original_firstorder_90Percentile,0.0024336121947042847
original_glrlm_LongRunLowGrayLevelEmphasis,0.0023608037021703074
original_firstorder_Variance,0.0022077991663776294
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.001734926214211179
original_glcm_Contrast,0.0015063419902136437
original_firstorder_Minimum,0.0014125005283616874
original_shape2D_MaximumDiameter,0.0013610663775494285
original_glrlm_LongRunHighGrayLevelEmphasis,0.0012739265002359734
original_ngtdm_Coarseness,0.0012610623610002853
original_firstorder_10Percentile,0.0012488916753993064
original_shape2D_MajorAxisLength,0.001218348145245255
original_glrlm_RunLengthNonUniformityNormalized,0.0011756963276521172
original_glcm_DifferenceVariance,0.0011298025983522446
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.001071682491422508
original_firstorder_RootMeanSquared,0.0010488279180216825
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0010065363280218269
original_glrlm_RunEntropy,0.0009027497159319769
original_glcm_JointEnergy,0.0008015032963986984
original_glrlm_LowGrayLevelRunEmphasis,0.000772284895517282
original_glrlm_GrayLevelNonUniformityNormalized,0.0007226616423695304
original_glrlm_RunPercentage,0.0006896660267021032
original_glrlm_HighGrayLevelRunEmphasis,0.00021192723582613837
original_ngtdm_Complexity,0.0
original_gldm_SmallDependenceEmphasis,0.0
original_glcm_Id,0.0
original_glcm_Idm,0.0
original_glcm_Imc2,0.0
original_glcm_Imc1,0.0
original_glcm_JointEntropy,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_glcm_SumSquares,0.0
original_glcm_InverseVariance,0.0
original_glcm_Correlation,0.0
original_glcm_JointAverage,0.0
original_glrlm_GrayLevelVariance,0.0
original_glcm_DifferenceAverage,0.0
original_glrlm_LongRunEmphasis,0.0
original_glcm_DifferenceEntropy,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glcm_SumEntropy,0.0
original_firstorder_Range,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_Uniformity,0.0
original_firstorder_Skewness,0.0
original_glcm_Autocorrelation,0.0
original_glrlm_RunVariance,0.0
original_gldm_DependenceEntropy,0.0
original_gldm_DependenceNonUniformity,0.0
original_firstorder_MeanAbsoluteDeviation,0.0
original_firstorder_Mean,0.0
original_firstorder_Median,0.0
original_gldm_DependenceVariance,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
