train_dataset,dataset,task,train_mask_source,test_mask_source,mask_source,auroc,auprc,acc,sensitivity,specificity,model_dir,feature_csv,csv,mean_dice_vs_gt,mean_hd95_vs_gt,perturb_stats_csv,results_csv,n_rows,roc_auc,accuracy,balanced_accuracy,mcc,f1,precision,recall,ece
TN5K,TN5K,malignancy,gt,gt,gt,0.8608414404060233,0.923375648652472,0.852,0.9439124487004104,0.6022304832713755,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt__test_gt.csv,1000,0.8608414404060233,0.852,0.7730714659858929,0.6020935382637363,0.9031413612565444,0.8657465495608532,0.9439124487004104,
TN5K,TN5K,malignancy,gt,gt_mild_perturb,gt_mild_perturb,0.843383052192088,0.9144714021953568,0.827,0.9261285909712722,0.5576208178438662,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt__test_gt_mild_perturb.csv,1000,0.843383052192088,0.827,0.7418747044075692,0.5323333293622768,0.8867059593975115,0.8505025125628141,0.9261285909712722,
TN5K,TN5K,malignancy,gt,gt_moderate_perturb,gt_moderate_perturb,0.8215460819064376,0.9097368242099324,0.794,0.8987688098495212,0.5092936802973977,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt__test_gt_moderate_perturb.csv,1000,0.8215460819064376,0.794,0.7040312450734595,0.4434878995186198,0.8644736842105263,0.8326996197718631,0.8987688098495212,
TN5K,TN5K,malignancy,gt,pred,pred,0.793687925589532,0.8928026858297833,0.782,0.9699042407660738,0.2713754646840148,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/pred/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt__test_pred.csv,1000,0.793687925589532,0.782,0.6206398527250443,0.3648963592727667,0.8667481662591687,0.7834254143646409,0.9699042407660738,
TN5K,TN5K,malignancy,gt_mild_perturb,gt,gt,0.8534370089351552,0.9177385073104418,0.841,0.9398084815321476,0.5724907063197026,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_mild_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_mild_perturb__test_gt.csv,1000,0.8534370089351552,0.841,0.7561495939259251,0.5700838219338488,0.8962818003913894,0.8566084788029925,0.9398084815321476,
TN5K,TN5K,malignancy,gt_mild_perturb,gt_mild_perturb,gt_mild_perturb,0.8453155274386058,0.9144017219320112,0.827,0.920656634746922,0.5724907063197026,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_mild_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_mild_perturb__test_gt_mild_perturb.csv,1000,0.8453155274386058,0.827,0.7465736705333124,0.5350328961105683,0.8861092824226465,0.8540609137055838,0.920656634746922,
TN5K,TN5K,malignancy,gt_mild_perturb,gt_moderate_perturb,gt_moderate_perturb,0.848376975065984,0.9244273756710832,0.813,0.9015047879616964,0.5724907063197026,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_mild_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_mild_perturb__test_gt_moderate_perturb.csv,1000,0.848376975065984,0.813,0.7369977471406994,0.5025558606157304,0.8757475083056478,0.851421188630491,0.9015047879616964,
TN5K,TN5K,malignancy,gt_mild_perturb,pred,pred,0.7981783878070983,0.8973746254311128,0.794,0.975376196990424,0.3011152416356877,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_mild_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/pred/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_mild_perturb__test_pred.csv,1000,0.7981783878070983,0.794,0.638245719313056,0.4105220830380812,0.8737745098039216,0.7913429522752498,0.975376196990424,
TN5K,TN5K,malignancy,gt_moderate_perturb,gt,gt,0.8509197056535072,0.9159420054357724,0.812,0.9671682626538988,0.3903345724907063,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_moderate_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_moderate_perturb__test_gt.csv,1000,0.8509197056535072,0.812,0.6787514175723025,0.472944725211717,0.8826466916354557,0.8117106773823192,0.9671682626538988,
TN5K,TN5K,malignancy,gt_moderate_perturb,gt_mild_perturb,gt_mild_perturb,0.8475836431226765,0.9123307862461822,0.827,0.9562243502051984,0.4758364312267658,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_moderate_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_moderate_perturb__test_gt_mild_perturb.csv,1000,0.8475836431226765,0.827,0.7160303907159821,0.5226127981917179,0.8898790579248886,0.8321428571428572,0.9562243502051984,
TN5K,TN5K,malignancy,gt_moderate_perturb,gt_moderate_perturb,gt_moderate_perturb,0.8671575831854311,0.926102995136508,0.846,0.950752393980848,0.5613382899628253,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_moderate_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_moderate_perturb__test_gt_moderate_perturb.csv,1000,0.8671575831854311,0.846,0.7560453419718367,0.5823923042322434,0.9002590673575129,0.8548585485854858,0.950752393980848,
TN5K,TN5K,malignancy,gt_moderate_perturb,pred,pred,0.8114666978574951,0.9125156946691392,0.794,0.948016415868673,0.3754646840148699,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_gt_moderate_perturb,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_moderate_perturb/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/pred/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_gt_moderate_perturb__test_pred.csv,1000,0.8114666978574951,0.794,0.6617405499417714,0.4146434064459253,0.8706030150753769,0.8048780487804879,0.948016415868673,
TN5K,TN5K,malignancy,pred,gt,gt,0.8355921256719165,0.9120797676146276,0.811,0.8714090287277702,0.6468401486988847,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_pred,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/pred/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_pred__test_gt.csv,1000,0.8355921256719165,0.811,0.7591245887133274,0.5188603835841634,0.8708133971291866,0.8702185792349727,0.8714090287277702,
TN5K,TN5K,malignancy,pred,gt_mild_perturb,gt_mild_perturb,0.8320933283834845,0.9133500843151708,0.802,0.853625170998632,0.6617100371747212,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/models/train_pred,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/pred/TN5K_train.csv,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/csv_data/gt_mild_perturb/TN5K_test.csv,,,,/mnt/wangbd8/workspace/ThyroidAgent/dino_unet_multitask/pyradiomics_train/cross_mask_runs/TN5K/20260525_225933/results/train_pred__test_gt_mild_perturb.csv,1000,0.8320933283834845,0.802,0.7576676040866765,0.5062315315054499,0.8630705394190872,0.8727272727272727,0.853625170998632,
